name,surname,email,date of birth,type of visit
Egzon,Berisha,egzon.berisha@gmail.com,12/25/2000,Eye Doctor
Fatbardh,Gashi,fatbard.gashi@gmail.com,11/15/1997,Primary Care Provider
Albiona,Krasniqi,albiona.krasniqi@gmail.com,6/22/1998,Eye Doctor
Blinera,Berisha,blinera.berisha@gmail.com,3/28/2001,Eye Doctor
Albin,Morina,albin.morina@gmail.com,12/29/2002,Primary Care Provider
Bleart,Hoti,bleart.hoti@gmail.com,1/14/1999,Eye Doctor
Altin,Thaci,altin.thaci@gmail.com,8/31/1995,Primary Care Provider
Jetmir,Kryeziu,jetmir.kryeziu@yahoo.com,7/6/2005,Dentist
Almir,Bytyci,almir.bytyci@gmail.com,6/25/2001,Eye Doctor
Arta,Mazreku,arta.mazreku@gmail.com,4/9/2000,Eye Doctor
Arta,Berisha,arta.berisha@gmail.com,12/30/1998,Primary Care Provider
Vullnet,Bublaku,vullnet.bublaku@gmail.com,7/20/1998,Dermatologist
Rinor,Salihi,rinor.salihi@yahoo.com,12/6/2004,Dentist
Jetmir,Hoxha,jetmir.hoxha@hotmail.com,3/17/2002,Dermatologist
Etnik,Krasniqi,etnik.krasniqi@yahoo.com,5/5/1999,Dentist
Burim,Gashi,burim.gashi@gmail.com,10/4/2006,Eye Doctor
Blerim,Thaci,blerim.thaci@gmail.com,5/10/2003,Primary Care Provider
Petrit,Mazreku,petrit.mazreku@gmail.com,11/14/2001,Dentist
Era,Isufi,era.isufi@yahoo.com,7/21/1999,Dermatologist
Ermira,Gashi,ermira.gashi@gmail.com,8/14/1996,Eye Doctor
Melodia,Thaci,melodia.thaci@hotmail.com,9/4/1993,Primary Care Provider
Blinera,Hoxha,blinera.hoxha@yahoo.com,2/16/2008,Dermatologist
Nora,Rexhepi,nora.rexhepi@gmail.com,2/8/2007,Primary Care Provider
Jeta,Hoti,jeta.hoti@gmail.com,6/12/2005,Eye Doctor
Fatlon,Bujupi,fatlon.bujupi@hotmail.com,10/25/1990,Eye Doctor
Ariana,Morina,ariana.morina@gmail.com,12/5/2002,Dermatologist
Olta,Bashota,olta.bashota@yahoo.com,7/17/1989,Dentist
Orgesa,Gashi,orgesa.gashi@hotmail.com,4/19/1990,Dentist
Atlantik,Bytyci,atlantik.bytyci@gmail.com,8/10/1988,Eye Doctor
Arber,Hoti,arber.hoti@gmail.com,9/30/1994,Primary Care Provider
